,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
80,FATIMA,Fatima Fertilizer Company Limited,161.12,161.12,-4.18,-2.53%,2.55,0.0,"3,152,778",2100.0,338352.0
81,FCCL,Fauji Cement Company Limited,59.28,59.28,1.73,3.01%,1.09,0.0,"10,591,055",2453.0,145405.0
82,FCEPL,Frieslandcampina Engro Pakistan Limited,112.76,112.76,-1.23,-1.08%,0.65,0.0,"769,952",767.0,86441.0
83,FCL,Fast Cables Limited,24.87,24.87,0.68,2.81%,0.12,0.0,"7,290,591",645.0,16031.0
84,FECM,First Elite Capital Modaraba,17.33,17.33,0.19,1.11%,0.0,0.0,"7,781",11.0,197.0
85,FECTC,Fecto Cement Limited,121.70,121.70,4.94,4.23%,0.05,0.0,"680,828",50.0,6104.0
86,FEM,First Equity Modaraba,10.98,10.98,-0.04,-0.36%,0.0,0.0,"32,196",52.0,576.0
87,FEROZ,Ferozsons Laboratories Limited,410.69,410.69,7.51,1.86%,0.13,0.0,"37,372",43.0,17852.0
88,FFC,Fauji Fertilizer Company Limited,572.17,572.17,-1.31,-0.23%,6.2,0.0,"2,106,457",1439.0,823366.0
89,FFL,Fauji Foods Limited,17.85,17.85,-0.03,-0.17%,0.34,0.0,"3,717,659",2520.0,44981.0
90,FFLM,First Fidelity Leasing Modaraba,24.27,24.27,2.21,10.02%,0.0,0.0,"898,466",26.0,641.0
91,FHAM,First Habib Modaraba,33.50,33.50,-0.23,-0.68%,0.03,0.0,"141,093",111.0,3713.0
92,FIBLM,First IBL Modaraba,11.70,11.70,0.30,2.63%,0.0,0.0,"26,480",22.0,254.0
93,FILNC,Fateh Industries Limited,242.24,242.24,22.02,10.00%,0.0,0.0,"4,995",2.0,484.0
94,FIMM,First Imrooz Modaraba,215.92,215.92,0.00,0.00%,0.0,0.0,73,3.0,648.0
95,FLYNG,Flying Cement Company Limited,44.48,44.48,0.34,0.77%,0.23,0.0,"10,067",695.0,30905.0
96,FML,Feroze1888 Mills Limited,58.74,58.74,-1.01,-1.69%,0.18,0.0,"139,194",399.0,23461.0
97,FNBMNC,First National Bank Modaraba,0.64,0.64,0.00,0.00%,0.0,0.0,0,25.0,16.0
98,FPJM,First Punjab Modaraba,7.97,7.97,-0.03,-0.37%,0.0,0.0,"109,535",34.0,271.0
99,FPRM,First Paramount Modaraba,14.07,14.07,1.28,10.01%,0.0,0.0,"175,345",14.0,194.0
100,FRCL,Frontier Ceramics Limited,86.52,86.52,7.87,10.01%,0.02,0.0,"26,405",38.0,3277.0
101,FRSM,Faran Sugar Mills Limited,45.97,45.97,0.37,0.81%,0.01,0.0,831,40.0,1816.0
102,FTMM,First Treet Manufacturing Modaraba,17.55,17.55,0.75,4.46%,0.03,0.0,"29,162",196.0,3433.0
103,FTSM,First Tri-Star Modaraba,38.65,38.65,-4.25,-9.91%,0.01,0.0,"614,998",21.0,818.0
104,FZCM,Fazal Cloth Mills Limited,260.48,260.48,3.70,1.44%,0.06,0.0,"13,367",30.0,7814.0
105,GADT,Gadoon Textile Mills Limited,312.74,312.74,6.75,2.21%,0.07,0.0,"90,711",28.0,8766.0
106,GAL,Ghandhara Automobiles Limited,583.21,583.21,21.19,3.77%,0.25,0.0,"2,797,731",57.0,33244.0
107,GATI,Gatron (Industries) Limited,88.52,88.52,-0.18,-0.20%,0.07,0.0,"20,300",109.0,9625.0
108,GATM,Gul Ahmed Textile Mills Limited,30.26,30.26,-0.23,-0.75%,0.17,0.0,"1,269,411",740.0,22394.0
